count,mean,std,min,25%,50%,75%,max,missing_count,missing_pct,unique_count,skewness,kurtosis
338646.0,0.05,0.218,0.0,0.0,0.0,0.0,1.0,0,0.0,2,4.13,15.06
338646.0,0.231,0.421,0.0,0.0,0.0,0.0,1.0,0,0.0,2,1.277,-0.37
338646.0,1.171,3.83,0.0,0.19,0.53,1.35,208.57,0,0.0,3665,30.745,1206.545
338646.0,146.535,51.783,40.73,102.189,144.958,182.043,254.739,0,0.0,270480,0.242,-0.885
338646.0,145.941,52.043,40.01,101.41,144.25,181.61,255.08,0,0.0,18342,0.245,-0.886
338644.0,0.164,1.08,0.0,0.0,0.0,0.04,189.18,2,0.001,2061,92.327,12448.861
338646.0,0.15,0.989,0.0,0.0,0.0,0.037,173.186,0,0.0,3314,92.33,12449.437
338644.0,0.007,0.021,0.0,0.001,0.004,0.008,1.027,2,0.001,336803,20.802,559.896
338646.0,147.806,51.534,41.17,103.69,146.45,183.34,255.1,0,0.0,15357,0.234,-0.885
338642.0,54.144,21.746,0.0,43.0,62.0,71.0,90.0,4,0.001,90,-1.158,0.31
338642.0,0.337,1.015,0.0,0.06,0.163,0.39,59.794,4,0.001,153797,34.596,1573.355
338642.0,146.534,51.863,40.01,102.14,145.0,182.05,255.1,4,0.001,19754,0.242,-0.885
338646.0,145.195,52.221,40.01,100.44,143.28,180.89,254.47,0,0.0,15492,0.25,-0.885
338646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0.0
338646.0,-0.09,0.597,-25.611,-0.279,-0.063,0.092,23.951,0,0.0,158637,-0.149,68.679
338646.0,0.104,0.995,0.0,0.03,0.03,0.126,89.011,0,0.0,9976,67.905,5854.098
338642.0,-0.0,1.092,-24.084,0.0,0.0,0.0,189.18,4,0.001,3313,88.671,11948.243
338644.0,2.267,3.262,0.0,0.493,1.289,2.879,273.132,2,0.001,154375,17.619,1177.497
338646.0,-0.001,1.479,-25.578,-0.208,-0.053,0.063,57.65,0,0.0,338644,20.149,508.872
338646.0,0.203,0.644,0.0,0.0,0.0,0.0,23.0,0,0.0,24,9.782,184.672
338644.0,-0.0,0.406,-12.051,-0.053,-0.006,0.031,20.864,2,0.001,6124,28.663,1096.659
338646.0,0.018,0.134,0.0,0.0,0.0,0.0,1.0,0,0.0,2,7.181,49.561
338644.0,0.851,2.779,0.0,0.203,0.478,0.996,104.674,2,0.001,336448,21.122,530.484
338644.0,54.144,21.747,0.0,43.0,62.0,71.0,90.0,2,0.001,90,-1.158,0.309
338646.0,0.079,0.997,0.0,0.041,0.041,0.041,99.253,0,0.0,9315,90.36,8935.584
338644.0,3.557,4.102,0.0,1.095,2.168,4.438,42.728,2,0.001,259212,2.532,8.411
338644.0,146.534,51.863,40.01,102.14,145.0,182.05,255.1,2,0.001,19754,0.242,-0.885
338644.0,980.314,45076.405,0.0,4.282,7.209,15.46,9536856.958,2,0.001,162420,92.091,12239.106
338646.0,54.143,21.198,0.0,42.6,62.0,70.6,83.8,0,0.0,415,-1.145,0.319
338644.0,0.28,1.113,0.0,0.016,0.094,0.307,107.249,2,0.001,276757,48.145,3162.849
338644.0,0.342,2.183,-24.084,0.0,0.0,0.28,189.18,2,0.001,1794,54.577,3691.366
338646.0,0.003,0.054,0.0,0.0,0.0,0.0,1.0,0,0.0,2,18.302,332.978
338646.0,146.534,51.839,40.454,102.167,144.978,182.07,255.091,0,0.0,186146,0.242,-0.885
